Lab.ID,Compound.name,mz,RT,CAS.ID,HMDB.ID,KEGG.ID,Formula,mz.pos,mz.neg,Submitter,INCHIKEY,SMILE,Source,date,synonyms,Species_all,superclass,class,subclass,parent_levels,description
C00001404,N-Carbamoylputrescine,131.1058621,NA,6851-51-0,,,C5H13N3O,NA,NA,Xiao Wang,YANFYYGANIYHGI-UHFFFAOYSA-N,NC(=O)NCCCCN,KNApSack,"Jun26,2023",N-Carbamoylputrescine,Sesamum indicum|Limonium vulgare|Hordeum vulgare|Santalum album|Nicotiana tabacum (L.),Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,NA,"This compound belongs to the class of organic compounds known as isoureas. These are organic compounds containing the isourea group, with the general structure R1N(R2)C(=NR3)OR4, or its hydrocarbyl derivatives (R1,R2,R3,R4=H, alkyl, aryl)."
C00053114,Dimethylmalonic acid,132.0422587,NA,595-46-0,,,C5H8O4,NA,NA,Xiao Wang,OREAFAJWWJHCOT-UHFFFAOYSA-N,OC(C(C)(C)C(O)=O)=O,KNApSack,"Jun26,2023",Dimethylmalonic acid,Citrus sinensis,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,This compound belongs to the class of organic compounds known as dicarboxylic acids and derivatives. These are organic compounds containing exactly two carboxylic acid groups.
C00001341,L-Asparagine,132.0534921,NA,70-47-3,,,C4H8N2O3,NA,NA,Xiao Wang,DCXYFEDJOCDNAF-RUOZJJLTNA-N,C([C@@H](C(=O)O)N)C(=O)N,KNApSack,"Jun26,2023",L-Asparagine,Homo sapiens (Serum)|Homo sapiens (Urine)|Escherichia coli|Apium graveolens|Helianthus annuus|Carica papaya|Spinacia oleracea|Arabidopsis thaliana|Brassica oleracea|Capsella bursa-pastoris|Phaseolus vulgaris|Pisum sativum|Trifolium pratense L.|Trifolium repens L.|Punica granatum|Oryza sativa|Triticum aestivum|Prunus avium|Capsicum annuum|Solanum lycopersicum|Curcuma domestica|Caffea sp.,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives | Alpha amino acids and derivatives | Asparagine and derivatives,"This compound belongs to the class of organic compounds known as asparagine and derivatives. These are compounds containing asparagine or a derivative thereof resulting from reaction of asparagine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom."
C00050644,1-Indanone,132.0575149,NA,83-33-0,,,C9H8O,NA,NA,Xiao Wang,QNXSIUBBGPHDDE-UHFFFAOYSA-N,,KNApSack,"Jun26,2023",1-Indanone,Pteridium aquilinum var.latiusculum|Triticum aestivum,Benzenoids,Indanes,Indanones,NA,This compound belongs to the class of organic compounds known as indanones. These are compounds containing an indane ring bearing a ketone group.
C00051974,3-Aminomethylindole,132.0813243,NA,,,,C9H10N,NA,NA,Xiao Wang,,c1c2c(ccc1)c(c[nH]2)CN,KNApSack,"Jun26,2023",3-Aminomethylindole,Hordeum vulgare,NA,NA,NA,NA,NA
C00001384,L-Ornithine,132.0898776,NA,70-26-8,,,C5H12N2O2,NA,NA,Xiao Wang,AHLPHDHHMVZTML-SGAVLPGINA-N,[C@H](C(=O)O)(N)CCCN,KNApSack,"Jun26,2023",L-Ornithine|L-Orn|Ornithine,Homo sapiens (Serum)|Homo sapiens (Urine)|Escherichia coli|Panax ginseng|Helianthus annuus|Arabidopsis thaliana|Capsella bursa-pastoris|Glycine max|Medicago sativa|Phaseolus vulgaris|Punica granatum|Oryza sativa|Capsicum annuum|Nicotiana tabacum (L.)|Solanum lycopersicum|FOOD SAKE|Paraburkholderia phymatum,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives | Alpha amino acids and derivatives | Alpha amino acids,This compound belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).
C00051705,o-Isopropenyl toluene,132.0939004,NA,7399-49-7,,,C10H12,NA,NA,Xiao Wang,OGMSGZZPTQNTIK-UHFFFAOYSA-N,,KNApSack,"Jun26,2023",o-Isopropenyl toluene,Citrus reticulata,Benzenoids,Benzene and substituted derivatives,Phenylpropenes,NA,"This compound belongs to the class of organic compounds known as phenylpropenes. These are compounds containing a phenylpropene moiety, which consists of a propene substituent bound to a phenyl group."
C00001342,L-Aspartic acid,133.0375077,NA,56-84-8,,,C4H7NO4,NA,NA,Xiao Wang,CKLJMWTZIZZHCS-RUOZJJLTNA-N,C([C@@H](C(=O)O)N)C(=O)O,KNApSack,"Jun26,2023",L-Aspartic acid|L-Asp,Homo sapiens (Serum)|Homo sapiens (Urine)|Escherichia coli|Apium graveolens|Catharanthus roseus|Helianthus annuus|Beta vulgaris|Spinacia oleracea|Arabidopsis thaliana|Brassica oleracea|Phaseolus vulgaris|Vicia faba|Oryza sativa|Prunus avium|Santalum album|Capsicum annuum|Solanum lycopersicum|Curcuma domestica|Caffea sp.|FOOD SAKE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives | Alpha amino acids and derivatives | Aspartic acid and derivatives,"This compound belongs to the class of organic compounds known as aspartic acid and derivatives. These are compounds containing an aspartic acid or a derivative thereof resulting from reaction of aspartic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom."
C00052164,5-Hydroxyindole,133.0527639,NA,1953-54-4,,,C8H7NO,NA,NA,Xiao Wang,LMIQERWZRIFWNZ-UHFFFAOYSA-N,OC1=CC(C=CN2)=C2C=C1,KNApSack,"Jun26,2023",5-Hydroxyindole,Homo sapiens (Urine)|Solanum lycopersicum,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles,NA,This compound belongs to the class of organic compounds known as hydroxyindoles. These are organic compounds containing an indole moiety that carries a hydroxyl group.
C00052682,3-Hydroxynorvaline,133.0738932,NA,2280-42-4,,,C5H11NO3,NA,NA,Xiao Wang,LGVJIYCMHMKTPB-UHFFFAOYSA-N,CCC(O)C(N)C(O)=O,KNApSack,"Jun26,2023",3-Hydroxynorvaline,Triticum aestivum,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives | Alpha amino acids and derivatives | Alpha amino acids,This compound belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).
C00052904,Bis(2-hydroxypropyl)amine,133.1102787,NA,110-97-4,,,C6H15NO2,NA,NA,Xiao Wang,,,KNApSack,"Jun26,2023",Bis(2-hydroxypropyl)amine,Triticum aestivum,NA,NA,NA,NA,NA
C00001192,L-(-)-Malic acid,134.0215233,NA,97-67-6,,,C4H6O5,NA,NA,Xiao Wang,BJEPYKJPYRNKOW-RUOZJJLTNA-N,C([C@@H](C(=O)O)O)C(=O)O,KNApSack,"Jun26,2023",L-(-)-Malic acid|L-Malic acid,Escherichia coli|Carica papaya|Kalanchoe daigremontiana|Arabidopsis thaliana|Phaseolus vulgaris|Punica granatum|Phyllanthus emblica|Prunus avium|Capsicum annuum|Solanum lycopersicum|FOOD SAKE|Opunitia dillenii HAW.,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,NA,This compound belongs to the class of organic compounds known as beta hydroxy acids and derivatives. These are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom.
C00056291,FEMA 3677,134.0401503,NA,5466/6/8,,,C5H10O2S,NA,NA,Xiao Wang,CJQWLNNCQIHKHP-UHFFFAOYSA-N,CCOC(CCS)=O,KNApSack,"Jun26,2023",FEMA 3677,Carica pubescens|Vitis labrusca,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,This compound belongs to the class of organic compounds known as carboxylic acid esters. These are carboxylic acid derivatives in which the carbon atom from the carbonyl group is attached to an alkyl or an aryl moiety through an oxygen atom (forming an ester group).
C00055681,1-(4-Methylphenyl)ethanone,134.0731649,NA,122-00-9,,,C9H10O,NA,NA,Xiao Wang,GNKZMNRKLCTJAY-UHFFFAOYSA-N,CC1=CC=C(C(C)=O)C=C1,KNApSack,"Jun26,2023",1-(4-Methylphenyl)ethanone|Melilotal|4-Methylacetophenone,Mangifera indica|Apium graveolens|Senecio vulgaris|Citrus limon|Santalum album|Nicotiana tabacum,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones | Aryl ketones | Phenylketones | Alkyl-phenylketones,"This compound belongs to the class of organic compounds known as alkyl-phenylketones. These are aromatic compounds containing a ketone substituted by one alkyl group, and a phenyl group."
C00010303,"2,6-Dimethyl-1,3,5,7-octatetraenene",134.1095505,NA,460-01-5,,,C10H14,NA,NA,Xiao Wang,HPZWSJQQCJZBBG-LQPGMRSMSA-N,CC(=C)/C=C/C=C(/C=C)\C,KNApSack,"Jun26,2023","2,6-Dimethyl-1,3,5,7-octatetraenene|(E,E)-Cosmene|Cosmene",Mangifera indica|Cosmos bipinnatus|Carica papaya|Perilla frutescens|Rosmarinus officinalis|Acca sellowiana|Citrus reticulata,Hydrocarbons,Unsaturated hydrocarbons,Olefins,Acyclic olefins | Alkatetraenes,This compound belongs to the class of organic compounds known as alkatetraenes. These are acyclic hydrocarbons that contain exactly four carbon-to-carbon double bonds.
C00001490,Adenine,135.0544952,NA,73-24-5,,,C5H5N5,NA,NA,Xiao Wang,GFFGJBXGBJISGV-UHFFFAOYSA-N,n1cnc2c(c1N)nc[nH]2,KNApSack,"Jun26,2023",Adenine,Homo sapiens (Urine)|Escherichia coli|Pleurocybella porrigens|Annona purpurea|Ilex paraguariensis|Beta vulgaris|Disporopsis aspera|Arabidopsis thaliana|Brassica oleracea|Cicer arietinum|Oxytropis glabra|Phaseolus vulgaris|Fritillaria cirrhosa|Cola sp.|Theobroma cacao|Theobroma grandiflorum|Tinospora crispa|Oryza sativa|Coffea arabica|Coffea canephora|Coffea dewevrei|Coffea eugeniodes|Coffea kianjavatensis|Coffea liberica|Coffea racemosa|Coffea salvatrix|Citrus maxima|Paullinia cupana|Camellia irrawadiensisia|Camellia kissi|Camellia ptilophylla|Camellia sinensis|Camellia taliensis|Camellia toliensis|Cammellia assamica var.kucha|FOOD SAKE|Herreania sp.,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,NA,This compound belongs to the class of organic compounds known as 6-aminopurines. These are purines that carry an amino group at position 6. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring.
C00033834,Erythronic acid,136.0371734,NA,13752-84-6,,,C4H8O5,NA,NA,Xiao Wang,JPIJQSOTBSSVTP-MZTXYVAJNA-N,OC[C@@H]([C@@H](C(=O)O)O)O,KNApSack,"Jun26,2023",Erythronic acid,Homo sapiens (Serum)|Homo sapiens (Urine)|Allium cepa|Spinacia oleracea|Arabidopsis thaliana|Averrhoa carambola|Sebertia acuminata|Solanum lycopersicum,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,This compound belongs to the class of organic compounds known as sugar acids and derivatives. These are compounds containing a saccharide unit which bears a carboxylic acid group.
C00002698,p-Hydroxyacetophenone,136.0524295,NA,99-93-4,,,C8H8O2,NA,NA,Xiao Wang,TXFPEBPIARQUIG-UHFFFAOYSA-N,c1cc(ccc1C(=O)C)O,KNApSack,"Jun26,2023",p-Hydroxyacetophenone|Piceol|4'-Hydroxyacetophenone,Apocynum cannabinum|Ophryosporus floribundus|Robinsonecio gerberifolius|Saussurea laniceps|Senecio chionophilus|Aeschynanthus bracteatus|Sideritis discolor|Sideritis soluta|Picea abies|Picea glehnii|Posidonia oceanica|Citrus sinensis cv.Valencia|Scrophularia ningpoensis|Fabiana imbricata,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones | Aryl ketones | Phenylketones | Alkyl-phenylketones,"This compound belongs to the class of organic compounds known as alkyl-phenylketones. These are aromatic compounds containing a ketone substituted by one alkyl group, and a phenyl group."
C00055680,4-methylbicyclo[3.2.1]oct-3-en-2-one,136.088815,NA,62702-89-0,,,C9H12O,NA,NA,Xiao Wang,FPPYDYAQKZHWRA-UHFFFAOYSA-N,CC(C1CCC2C1)=CC2=O,KNApSack,"Jun26,2023",4-methylbicyclo[3.2.1]oct-3-en-2-one,Citrus limon,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones | Cyclic ketones | Cyclohexenones,"This compound belongs to the class of organic compounds known as cyclohexenones. These are compounds containing a cylohexenone moiety, which is a six-membered aliphatic ring that carries a ketone and has one endocyclic double bond."
C00003051,alpha-Phellandrene,136.1252005,NA,99-83-2,,,C10H16,NA,NA,Xiao Wang,OGLDWXZKYODSOB-UEQNJFAPNA-N,C1=C[C@H](CC=C1C)C(C)C,KNApSack,"Jun26,2023",alpha-Phellandrene,Homo sapiens (Feces)|Mangifera indica|Pistacia lentiscus|Schinus terebinthus|Annona glabra|Monodora myristica|Xylopia aethiopica|Xylopia parviflora|Angelica pubescens f.biserrata|Apium graveolens|Cuminum cyminum L.|Daucus carota|Falcaria vulgaris|Foeniculum vulgare|Ligusticum jeholense|Notopterygium forbesii|Petroselinum crispum|Ambrosia trifida|Artemisia annua|Chamaemelum nobile|Eupatorium adenophorum|Petasites albus|Petasites hybridus|Phagnalon sordidum|Rhaponticum carthamoides|Saussurea lappa|Tanacetum macrophyllum|Cistus albidus|Arabidopsis thaliana|Capsella bursa-pastoris|Juniperus spp.|Cyperus rotundus L.|Quercus coccifera|Pelargonium graveolens|Mentha spp.|Ocimum basilicum|Ocimum gratissimum|Rosmarinus officinalis|Salvia officinalis|Thymus broussonetti|Thymus capitatus|Thymus eriocalyx|Thymus maroccanus|Thymus praecos|Thymus vulgaris|Thymus X-porlock|Cinnamomum augustifolium|Cinnamomum camphora|Litsea cubeba|Magnolia officinalis|Moringa oleifera|Moringa peregrina|Eucalyptus elata|Eucalyptus globulus|Eucalyptus microtheca|Eucalyptus phellandra|Eucalyptus radiata|Eucalyptus spp.|Myrtus communis|Psidium guajava|Pinus cembra|Pinus halepensis|Pinus mugo subsp. Mugo|Pinus radiata|Pinus spp.|Piper nigrum|Nigella sativa L|Aegle marmelos|Atalantia guillauminii|Citrus aurantifolia|Citrus aurantium|Citrus limon|Citrus medica|Citrus reticulata|Citrus sinensis|Citrus spp.|Clausena excavata|Murraya paniculata|Poncirus trifoliate x Citrus sinensis|Zanthoxylum armatum|Houttuynia cordata Thunb.|Solanum lycopersicum|Camellia sinensis|Turnera diffusa|Lippia chevalieri|Lippia multiflora|Alpinia allughas|Amomum medium|Curcuma amada|Curcuma amanda Roxb|Curcuma longa|Zingiber officinale|Alphinia galanga|Baeckea frutescens L.|Trachyspermum roxburghianum,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,NA,"This compound belongs to the class of organic compounds known as menthane monoterpenoids. These are monoterpenoids with a structure based on the o-, m-, or p-menthane backbone. P-menthane consists of the cyclohexane ring with a methyl group and a (2-methyl)-propyl group at the 1 and 4 ring position, respectively. The o- and m- menthanes are much rarer, and presumably arise by alkyl migration of p-menthanes."
C00001401,4-Aminobenzoic acid,137.0476785,NA,150-13-0,,,C7H7NO2,NA,NA,Xiao Wang,ALYNCZNDIQEVRV-UHFFFAOYSA-N,c1(ccc(cc1)C(=O)O)N,KNApSack,"Jun26,2023",4-Aminobenzoic acid|p-Aminobenzoic acid,Escherichia coli|Arabidopsis thaliana|Punica granatum|Solanum tuberosum,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aminobenzoic acids and derivatives | Aminobenzoic acids,This compound belongs to the class of organic compounds known as aminobenzoic acids. These are benzoic acids containing an amine group attached to the benzene moiety.
C00001435,Tyramine,137.084064,NA,51-67-2,,,C8H11NO,NA,NA,Xiao Wang,DZGWFCGJZKJUFP-UHFFFAOYSA-N,c1cc(ccc1O)CCN,KNApSack,"Jun26,2023",Tyramine,Claviceps purpurea|Allium victorialis|Monodora junodii|Xylopia parviflora|Stapelia hirsuta|Aristolochia gigantea|Helianthus annuus|Silybum marianum|Berberis amurensis|Berberis aquifolium|Berberis aristata|Berberis thunbergii|Berberis vulgaris|Berberis wilsoniae|Caulophyllum thalicroides|Mahonia aquifolium|Espostoa huanucensis|Lophophora williamsii|Pereskia aculeata|Trichocereus candicans|Trichocereus pachanoi|Trichocereus spachianus|Spinacia oleracea|Rhodiola rosea|Rhodiola sachalinensis|Arabidopsis thaliana|Brassica olereacea|Capsella bursa-pastoris|Acacia angustissima|Acacia greggii|Acacia rigidula Benth.|Acacia roemeriana|Adenocarpus hispanicus|Cytisus scoparius|Dendrolobium triangulare|Desmodium elegans|Desmodium triflorum|Erythrina crista-galli|Gleditsia triacanthos|Glycine max|Liparia parva|Liparia splendens|Phaseolus vulgaris|Pisum sativum|Prosopis alba|Prosopis glandulosa|Prosopis nigra|Senna alata|Tephrosia noctiflora|Corydalis cava|Dicentra spectabilis|Fumaria officinalis|Hypecoum lactiflorum|Gnetum montanum|Lyallia kerguelensis|Lamium barbatum|Lindera angustifolia|Persea americana|Magnolia obovata|Magnolia officinalis|Theobroma cacao|Cissampelos pareira|Cocculus diversifolius|Cocculus japonicus|Cyclea barbata|Cyclea peltata|Stephania hernandifolia|Stephania tetrandra|Tinospora cordifolia|Tinospora crispa|Musa acuminata|Musa sapientum|Argemone mexicana|Chelidonium majus|Eschscholzia californica|Glaucium flavum|Macleaya cordata|Meconopsis cambrica|Papaver bracteatum|Papaver rhoeas|Papaver somniferum|Romneya coulteri|Piper nigrum|Antirrhinum majus|Plantago major|Hordeum vulgare|Lolium multiflorum|Oryza sativa|Panicum miliaceum|Portulaca grandiflora|Actaea racemosa|Clematis parviloba|Coptis japonica|Delphinium pentagynum|Thalictrum flavum|Hydrastis canadensis|Zizyphus jujuba var. spinosa|Citrus aurantium L. var. amara|Citrus bergamia|Citrus limon|Citrus medica|Citrus reticulata|Citrus sinensis|Phellodendron chinensis|Viscum album|Datura innoxia|Nicotiana tabacum|Solanum esculentum|Solanum lycopersicum L.|Solanum melanogena|Solanum tuberosum|Apiaceae|Dilphinium caeruleum|FOOD SAKE|Lobivia bachenbergii|Lobivia binghamiana|Lobivia pentlandii|Mohonia bealei|Pseudolobivia kermesina,Benzenoids,Benzene and substituted derivatives,Phenethylamines,NA,"This compound belongs to the class of organic compounds known as phenethylamines. These are compounds containing a phenethylamine moiety, which consists of a phenyl group substituted at the second position by an ethan-1-amine."
C00048480,m-Hydroxybenzoic acid,138.0316941,NA,1999/6/9,,,C7H6O3,NA,NA,Xiao Wang,IJFXRHURBJZNAO-UHFFFAOYSA-N,c1c(cc(cc1)C(=O)O)O,KNApSack,"Jun26,2023",m-Hydroxybenzoic acid,Rhaponticum carthamoides|Arabidopsis thaliana|Citrus paradisi,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,"This compound belongs to the class of organic compounds known as hydroxybenzoic acid derivatives. These are compounds containing a hydroxybenzoic acid (or a derivative), which is a benzene ring bearing a carboxyl and a hydroxyl groups."
C00029515,2-(4-Hydroxyphenyl)ethanol,138.0680796,NA,501-94-0,,,C8H10O2,NA,NA,Xiao Wang,YCCILVSKPBXVIP-UHFFFAOYSA-N,c1c(ccc(c1)CCO)O,KNApSack,"Jun26,2023",2-(4-Hydroxyphenyl)ethanol|4-(2-Hydroxyethyl)phenol|p-Hydroxyphenethyl alcohol|p-Tyrosol|Tyrosol,Gloeophyllum sp.97022|Penicillium sp.|Sinopodophyllum emodi (WALL.) YING|Rhodiola crenulata (HOOK.f.et Thoms.) H.OHBA|Rhodiola kirilowii|Rhodiola rosea|Rhodiola sachalinensis|Raphanus sativus|Croton chilensis|Engelhardia roxburghiana|Azadirachta indica|Fraxinus americana|Olea europaea|Plantago lanceolata|Rehmannia glutinosa|Datura metel|Camellia sinensis|Arganis spinosa|FOOD SAKE|Nigrospora sp. PSU-F18,Benzenoids,Phenols,Tyrosols and derivatives,NA,This compound belongs to the class of organic compounds known as tyrosols. These are organic aromatic compounds containing a phenethyl alcohol moiety that carries a hydroxyl group at the 4-position of the benzene group.
C00030540,alpha-Isophorone,138.1044651,NA,78-59-1,,,C9H14O,NA,NA,Xiao Wang,HJOVHMDZYOCNQW-UHFFFAOYSA-N,C1(=CC(=O)CC(C1)(C)C)C,KNApSack,"Jun26,2023",alpha-Isophorone|Isophorone,"Mangifera indica|Ceratophyllum demersum|Brassica hirta|Vaccinium microcarpa|Crocus sativus|Prunus armeniaca L. (K604-19,K113-40,K33-81)|Prunus salcina Lindl. (Friar)|Nicotiana tabacum|Solanum lycopersicum|Taxus baccata",Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones | Cyclic ketones | Cyclohexenones,"This compound belongs to the class of organic compounds known as cyclohexenones. These are compounds containing a cylohexenone moiety, which is a six-membered aliphatic ring that carries a ketone and has one endocyclic double bond."
C00053122,cis-ocimene,138.1408506,NA,6874-36-8,,,C10H18,NA,NA,Xiao Wang,,,KNApSack,"Jun26,2023",cis-ocimene,Mangifera indica|Foeniculum vulgare|Rhodiola rosea|Ocimum basilicum|Perilla frutescens|Salvia officinalis|Cinnamomum camphora|Myrtus communis|Citrus aurantifolia|Citrus aurantium|Citrus limon|Citrus paradisi|Citrus reticulata|Citrus sinensis|Houttuynia cordata|Nicotiana tabacum|Curcuma amada|Zingiber officinale,NA,NA,NA,NA,NA
C00037960,Tropinone,139.099714,NA,532-24-1,,,C8H13NO,NA,NA,Xiao Wang,QQXLDOJGLXJCSE-UHFFFAOYNA-N,C1[C@H]2CC(=O)C[C@@H](C1)N2C,KNApSack,"Jun26,2023",Tropinone,Corydalis yanhusuo|Anisodus acutangulus|Anisodus belladonna|Atropa baetica|Brugmansia arborea|Cyphomandra betaceae|Datura metel|Datura stramonium|Hyoscyamus albus|Hyoscyamus boveanus|Hyoscyamus desertorum|Hyoscyamus muticus|Hyoscyamus niger|Nicandra physaloides|Withania somnifera|Erythroxylon coca|Erythroxylon novogranatense,Alkaloids and derivatives,Tropane alkaloids,NA,NA,This compound belongs to the class of organic compounds known as tropane alkaloids. These are organic compounds containing the nitrogenous bicyclic alkaloid parent N-Methyl-8-azabicyclo[3.2.1]octane.
C00053185,2-Furan methyl acetate,140.0473441,NA,623-17-6,,,C7H8O3,NA,NA,Xiao Wang,CKOYRRWBOKMNRG-UHFFFAOYSA-N,CC(OCC1=CC=CO1)=O,KNApSack,"Jun26,2023",2-Furan methyl acetate|Furfuryl acetate,Coffea arabica|Coffea canephora|Houttuynia cordata|Solanum lycopersicum|Caffea sp.,Organoheterocyclic compounds,Heteroaromatic compounds,NA,NA,This compound belongs to the class of organic compounds known as heteroaromatic compounds. These are compounds containing an aromatic ring where a carbon atom is linked to an hetero atom.
C00055190,"(2E,6Z)-Nona-2,6-dien-1-ol",140.1201151,NA,28069-72-9,,,C9H16O,NA,NA,Xiao Wang,AMXYRHBJZOVHOL-ODYTWBPASA-N,CC/C=CCC/C=C/CO,KNApSack,"Jun26,2023","(2E,6Z)-Nona-2,6-dien-1-ol|Cucumber alcohol",Cucumis sativus|Citrus sinensis,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,NA,This compound belongs to the class of organic compounds known as fatty alcohols. These are aliphatic alcohols consisting of a chain of a least six carbon atoms.
C00055790,1-Decene,140.1565006,NA,872-05-9,,,C10H20,NA,NA,Xiao Wang,AFFLGGQVNFXPEV-UHFFFAOYSA-N,C=CCCCCCCCC,KNApSack,"Jun26,2023",1-Decene|Dec-1-ene,Petasites hybridus|Oryza sativa,Hydrocarbons,Unsaturated hydrocarbons,Unsaturated aliphatic hydrocarbons,NA,This compound belongs to the class of organic compounds known as unsaturated aliphatic hydrocarbons. These are aliphatic Hydrocarbons that contains one or more unsaturated carbon atoms. These compounds contain one or more double or triple bonds.
C00002301,Pseudotropine,141.1153641,NA,135-97-7,,,C8H15NO,NA,NA,Xiao Wang,CYHOMWAPJJPNMW-INTDOSGANA-N,N1([C@H]2C[C@@H](C[C@@H]1CC2)O)C,KNApSack,"Jun26,2023",Pseudotropine,Argyreia mollis|Atropa baetica|Atropa belladonna|Brugmansia arborea|Cyphomandra betaceae|Datura ceratocaula|Datura innoxia|Datura metel|Datura stramonium x D.discolor|Hyoscyamus niger|Scopolia carniolica|Solanum tubersoum|Withania somnifera|Mandrogora offinarum|Salpichora origanifolia,Alkaloids and derivatives,Tropane alkaloids,NA,NA,This compound belongs to the class of organic compounds known as tropane alkaloids. These are organic compounds containing the nitrogenous bicyclic alkaloid parent N-Methyl-8-azabicyclo[3.2.1]octane.
C00055673,5-Hydroxymaltol,142.0266087,NA,1073-96-7,,,C6H6O4,NA,NA,Xiao Wang,SSSNQLHKSUJJTE-UHFFFAOYSA-N,CC1=C(O)C(C(O)=CO1)=O,KNApSack,"Jun26,2023","5-Hydroxymaltol|3,5-Dihydroxy-2-methyl-4H-pyran-4-one",Hordeum vulgare|Santalum album,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,NA,This compound belongs to the class of organic compounds known as pyranones and derivatives. These are compounds containing a pyran ring which bears a ketone.
C00048964,cis-3-Hexenyl acetate,142.0993797,NA,3681-71-8,,,C8H14O2,NA,NA,Xiao Wang,NPFVOOAXDOBMCE-PLNGDYQASA-N,C(C/C=C\CC)OC(=O)C,KNApSack,"Jun26,2023",cis-3-Hexenyl acetate|(Z)-3-Hexenyl acetate,Anacardium occidentale|Matricaria recutita|Carica papaya|Silene latifolia|Beta vulgaris|Brassica rapa|Capsella bursa-pastoris|Medicago sativa|Perilla frutescens|Acca sellowiana|Psidium guajava|Olea europaea|Epipactis helleborine|Citrus sinensis|Murraya paniculata|Scrophularia umbrosa|Solanum lycopersicum|Taxus wallichiana|Camellia sinensis,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,This compound belongs to the class of organic compounds known as carboxylic acid esters. These are carboxylic acid derivatives in which the carbon atom from the carbonyl group is attached to an alkyl or an aryl moiety through an oxygen atom (forming an ester group).
C00030828,Nonadienal,142.1357652,NA,124-19-6,,,C9H18O,NA,NA,Xiao Wang,GYHFUZHODSMOHU-UHFFFAOYSA-N,C(=O)CCCCCCCC,KNApSack,"Jun26,2023",Nonadienal|Nonanal|n-Nonanal,"Homo sapiens (Exhaled breath)|Homo sapiens (Skin)|Mycobacterium bovis|Ganoderma lucidum|Penicillium expansum|Anacardium occidentale|Mangifera indica|Asparagus officinalis|Ambrosia trifida|Anthemis aciphylla BOISS.var.discoidea BOISS|Centaurea atropurpurea|Centaurea orientalis|Centaurea sessilis|Dittrichia graveolens|Matricaria recutita|Petasites albus|Petasites hybridus|Phagnalon sordidum|Tanacetum macrophyllum|Humulus lupulus|Carica papaya|Dianthus caryophyllus L.|Ceratophyllum demersum|Cistus creticus|Rhodiola rosea L.|Capsella bursa-pastoris|Manihot esculenta|Medicago sativa|Tipuana tipu|Trifolium pratense|Ocimum americanum|Rosmarinus officinalis|Punica granatum|Magnolia officinalis|Azadirachta indica|Acca sellowiana|Psidium guajava|Olea europaea|Averrhoa carambola|Plantago lanceolata|Capillipedium parviflorum|Polygonum minus|Prunus armeniaca L. (K113-40)|Prunus avium|Prunus salcina Lindl. (Blackamber,Friar)|Coffea canephora|Citrus aurantifolia|Citrus aurantium|Citrus limon|Citrus medica|Citrus reticulata|Citrus sinensis L.|Murraya paniculata|Santalum album|Houttuynia cordata|Mandragora autumnalis|Solanum lycopersicum|Solanum lycopersicum Mill.|Solanum tuberosum|Taxus baccata|Camellia sinensis|Caffea sp.|Spongiporus leucomallellus (Murril)",Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes | Medium-chain aldehydes,This compound belongs to the class of organic compounds known as medium-chain aldehydes. These are an aldehyde with a chain length containing between 6 and 12 carbon atoms.
