Compounds	Chemical Formula	InChI-Key	Pathways of compound	SMILES	Object ID	Synonyms	Molecular-Weight
2-oxoindole-3-acetate	C10H8NO3	InChIKey=ILGMGHZPXRDCCS-UHFFFAOYSA-M	indole-3-acetate inactivation IV	C([O-])(=O)CC1(C(=O)NC2(\C\1=C/C=C\C=2))	2-OXINDOLE-3-ACETIC-ACID	2-indolinone-3-acetic acid // 2-oxoindole-3-acetic acid // 2-indolinone-3-acetate	190.178
2-oxopent-4-enoate	C5H5O3	InChIKey=NOXRYJAWRSNUJD-UHFFFAOYSA-M	aliphatic glucosinolate biosynthesis, side chain elongation cycle // L-homomethionine biosynthesis	C=CCC(=O)C(=O)[O-]	OXOPENTENOATE	2-oxo-4-pentenoate // 2-oxopentenoate // 2-keto-4-pentenoate // oxopent-4-enoate // 2-keto-4-pentenoic acid // 2-ketopent-4-enoic acid	113.093
2-oxovalerate	C5H7O3	InChIKey=KDVFRMMRZOCFLS-UHFFFAOYSA-M	aliphatic glucosinolate biosynthesis, side chain elongation cycle // L-homomethionine biosynthesis	CCCC(=O)C(=O)[O-]	CPD-3618	2-ketopentanoate // 2-oxopentanoate // alpha-ketovaleric acid // 2-ketovalerate // alpha-ketovalerate // a-ketovaleric acid	115.108
2-pentadecanone	C15H30O	InChIKey=CJPNOLIZCWDHJK-UHFFFAOYSA-N	cuticular wax biosynthesis	CCCCCCCCCCCCCC(=O)C	CPD-7898	pentadecan-2-one // methyl tridecyl ketone	226.401
2-phenylacetamide	C8H9NO	InChIKey=LSBDFXRDZJMBSC-UHFFFAOYSA-N		C(CC1(\C=C/C=C\C=1))(N)=O	CPD-238	phenylacetamide // N-phenylacetamide // 2-acetanilide // acetanilide	135.165
2-phenylethanol	C8H10O	InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N	L-phenylalanine degradation III	C1(\C=C/C(\CCO)=C\C=1)	CPD-7035	benzeneethanol // phenethanol	122.166
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H22N3O17P3	InChIKey=HTJXTKBIUVFUAR-XHIBXCGHSA-J	methylerythritol phosphate pathway I // superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP) // methylerythritol phosphate pathway II	C[C@](OP([O-])([O-])=O)(CO)[C@H](O)COP(OP([O-])(=O)OC[C@@H]2([C@H]([C@@H](O)[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O))([O-])=O	2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	CDP-ME-2P // CDP-methyl-D-erylthritol 2-phosphate // 4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate // 4-diphosphocytidyl-2-C-methylerythritol 2-phosphate	597.259
2-phospho-D-glycerate	C3H4O7P	InChIKey=GXIURPTVHJPJLF-UWTATZPHSA-K	gluconeogenesis I // glycolysis II (from fructose 6-phosphate) // superpathway of anaerobic sucrose degradation // gluconeogenesis III // glycolysis I (from glucose 6-phosphate) // Rubisco shunt // glycolysis IV (plant cytosol) // superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	C(=O)([O-])[C@H](OP(=O)([O-])[O-])CO	2-PG	2-phospho-(D)-glycerate // 2-phospho-(R)-glycerate // 2-phospho-D-glyceric acid // 2-P-D-glycerate // D-Glycerate 2-phosphate // D-2-phosphoglycerate	183.034
2-phosphoglycolate	C2H2O6P	InChIKey=ASCFNMCAHFUBCO-UHFFFAOYSA-K	photorespiration	C(OP([O-])(=O)[O-])C([O-])=O	CPD-67	2-P-glycolate // phosphoglycolate // Phosphoglycolic acid	153.008
2-propenyl-thiohydroximate-O-sulfate	C4H6NO4S2	InChIKey=KUCLLOHRTWVXPV-UHFFFAOYSA-M	glucosinolate activation	C=CCC(/S)=N\OS([O-])(=O)=O	CPD-12139		196.216
2-<i>R</i>-hydroperoxy-linolenate	C18H30O4		acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // phospholipases // triacylglycerol degradation // fatty acid &alpha;-oxidation I // alkane oxidation // phosphatidylcholine acyl editing // long-chain fatty acid activation	CC\C=C/C\C=C/C\C=C/CCCCCCC(OO)C(=O)O	CPDQT-458	2-R-hydroperoxy-linolenic acid // 2-R-hydroperoxy-all-cis-9,12,15-octadecatrienoic acid // 2-R-hydroperoxy-(9Z,12Z,15Z)-octadecatrienoic acid // 2-R-hydroperoxy-(9,12,15)-linolenic acid // 2-R-hydroperoxy-9Z,12Z,15Z-octadecatrienoate // (9Z,12Z,15Z)-2-hydroperoxyoctadeca-9,12,15-trienoic acid	310.433
2-<i>S</i>-cysteinyldopa	C12H16N2O6S	InChIKey=IAGPESOLVJAEAG-BQBZGAKWSA-N	cuticular wax biosynthesis	C(SC1(/C(\C[C@@H](C(=O)[O-])[NH3+])=C\C=C(C(\O)=1)\O))[C@@H](C(=O)[O-])[NH3+]	CPD-20260		316.328
2-<i>S</i>-cysteinyldopaquinone	C12H14N2O6S	InChIKey=WZVBMYNCJXSJII-BQBZGAKWSA-N	cuticular wax biosynthesis	C(SC1(\C(C(\C=C/C(\C[C@@H](C(=O)[O-])[NH3+])=1)=O)=O))[C@@H](C(=O)[O-])[NH3+]	CPD-20261		314.312
2-sinapoyloxy-3-butenylglucosinolate	C22H28NO14S2	InChIKey=WJTPNROZULSXGJ-NILQQRRASA-M	glucosinolate biosynthesis from dihomomethionine	C=CC(OC(=O)/C=C/C1(/C=C(C(\O)=C(C=1)\OC)/OC))CC(/S[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))=N\OS(=O)(=O)[O-]	CPD-12423		594.581
2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate	C14H13O9	InChIKey=JKJGLRGLOMRXFN-MVWJERBFSA-K	2-carboxy-1,4-naphthoquinol biosynthesis // superpathway of phylloquinol biosynthesis // 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	C=C(C(=O)[O-])O[C@H]1(C/C=C([C@H]([C@H](O)1)C(=O)[O-])/C(=O)CCC(=O)[O-])	CPD-9924	SEPHCHC // 5-enolpyruvoyl-6-hydroxy-2-succinyl-cyclohex-3-ene-1-carboxylate	325.251
2-succinylbenzoate	C11H8O5	InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L	2-carboxy-1,4-naphthoquinol biosynthesis // superpathway of phylloquinol biosynthesis // 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	C1(\C=C/C(/C(=O)[O-])=C(\C=1)/C(=O)CCC(=O)[O-])	O-SUCCINYLBENZOATE	o-succinyl-benzoate // 2-succinyl-benzoate // o-succinylbenzoate // 4-(2-carboxyphenyl)-4-oxobutanoate	220.181
2-thiouridine 5'-triphosphate	C9H11N2O14P3S	InChIKey=KHYOUGAATNYCAZ-XVFCMESISA-J		C(OP(OP(OP([O-])([O-])=O)([O-])=O)([O-])=O)[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=S)2))	CPD0-1037		496.172
2-tridecanone	C13H26O	InChIKey=CYIFVRUOHKNECG-UHFFFAOYSA-N	cuticular wax biosynthesis	CCCCCCCCCCCC(=O)C	CPD-7901	tridecan-2-one // methyl undecyl ketone	198.348
2-undecanone	C11H22O	InChIKey=KYWIYKKSMDLRDC-UHFFFAOYSA-N		CCCCCCCCCC(=O)C	2-UNDECANONE		170.294
2-[(2'-methylsulfanyl)butyl]maleate	C9H12O4S	InChIKey=NRBLWWINQRHBME-SREVYHEPSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCC(\C(=O)[O-])=C\C([O-])=O	CPD-19478	2-[(2'-methylthio)butyl]maleate	216.251
2-[(2'-methylsulfanyl)ethyl]malate	C7H10O5S	InChIKey=FZNWJRXTACKOPU-UHFFFAOYSA-L	alkane oxidation // L-homomethionine biosynthesis	CSCCC(CC([O-])=O)(O)C(=O)[O-]	2-2-METHYLTHIOETHYLMALIC-ACID	2-(2'-methylthio)ethylmalic-acid // 2-[(2'-methylthio)ethyl]malic-acid // 2-[(2'-methylthio)ethyl]malate	206.213
2-[(2'-methylsulfanyl)ethyl]maleate	C7H8O4S	InChIKey=FCGNCJNTFRMBQY-PLNGDYQASA-L	alkane oxidation // L-homomethionine biosynthesis	CSCCC(\C(=O)[O-])=C\C([O-])=O	CPD-19476	2-[(2'-methylthio)ethyl]maleate	188.198
2-[(2'-methylsulfanyl)heptyl]maleate	C12H18O4S	InChIKey=GADMIJGPIIRJII-KTKRTIGZSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCCCCC(\C(=O)[O-])=C\C([O-])=O	CPD-19481	2-[(2'-methylthio)heptyl]maleate	258.332
2-[(2'-methylsulfanyl)hexyl]maleate	C11H16O4S	InChIKey=BDWTWLBLUBGINP-HJWRWDBZSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCCCC(\C(=O)[O-])=C\C([O-])=O	CPD-19480	2-[(2'-methylthio)hexyl]maleate	244.305
2-[(2'-methylsulfanyl)pentyl]maleate	C10H14O4S	InChIKey=FHIODBUYVWQUDO-FPLPWBNLSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCCC(\C(=O)[O-])=C\C([O-])=O	CPD-19479	2-[(2'-methylthio)pentyl]maleate	230.278
2-[(2'-methylsulfanyl)propyl]maleate	C8H10O4S	InChIKey=RQAOZCCKOFEXBK-WAYWQWQTSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCC(\C(=O)[O-])=C\C([O-])=O	CPD-19477	2-[(2'-methylthio)propyl]maleate	202.225
2-[(2<i>R</i>,5<i>Z</i>)-2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate	C7H7NO6PS	InChIKey=PQMCQNOVNFNPFJ-HYIMLASBSA-K		CC1(\C(\S[C@H](C(=O)[O-])\N=1)=C\COP([O-])(=O)[O-])	CPD-13575	cThz*-P // thiazole tautomer // (R,Z)-2-(2-carboxy-4-methylthiazol-5(2H)-ylidene)ethyl phosphate	264.169
2-[(3'-methylsulfanyl)propyl]malate	C8H12O5S	InChIKey=WLOKFRZXOVZGIN-UHFFFAOYSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCC(O)(CC([O-])=O)C(=O)[O-]	CPDQT-31	2-[(3'-methylthio)propyl]malate // 2-[(3'-methylthio)propyl]malic acid // 2-(3'-methylthio)propylmalic acid	220.24
2-[(4'-methylsulfanyl)butyl]malate	C9H14O5S	InChIKey=MHYITDUVXNMMNZ-UHFFFAOYSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCC(O)(CC([O-])=O)C(=O)[O-]	CPDQT-32	2-[(4'-methylthio)butyl]malate // 2-[(4'-methylthio)butyl]malic acid // 2-(4'-methylthio)butylmalic acid	234.267
2-[(5'-methylsulfanyl)pentyl]malate	C10H16O5S	InChIKey=OKIIWFXZWJTTLY-UHFFFAOYSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCCC(O)(CC([O-])=O)C(=O)[O-]	CPDQT-33	2-[(5'-methylthio)pentyl]malate // 2-[(5'-methylthio)pentyl]malic acid // 2-(5'-methylthio)pentylmalic acid	248.293
2-[(6'-methylsulfanyl)hexyl]malate	C11H18O5S	InChIKey=FEKMFSGDBKSRNR-UHFFFAOYSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCCCC(O)(CC([O-])=O)C(=O)[O-]	CPDQT-34	2-[(6'-methylthio)hexyl]malate // 2-[(6'-methylthio)hexyl]malic acid // 2-(6'-methylthio)hexylmalic acid	262.32
2-[(7'-methylsulfanyl)heptyl]malate	C12H20O5S	InChIKey=PWAKELUEEHWVFQ-UHFFFAOYSA-L	alkane oxidation // aliphatic glucosinolate biosynthesis, side chain elongation cycle	CSCCCCCCCC(O)(CC([O-])=O)C(=O)[O-]	CPDQT-35	2-[(7'-methylthio)heptyl]malate // 2-[(7'-methylthio)heptyl]malic acid // 2-(7'-methylthio)heptylmalic acid	276.347
2-[2-(methylsulfanyl)ethyl]-3-oxobutanedioate	C7H8O5S	InChIKey=FPILONYMVKSPJW-UHFFFAOYSA-L	L-homomethionine biosynthesis	CSCCC(C(=O)[O-])C(=O)C([O-])=O	CPD-19486	2-[2-(methylthio)ethyl]-3-oxobutanedioate	204.197
2-{[(4-methoxybenzyl)(methyl)amino]methyl}-2-methylpropane-1,3-diol	C14H24NO3	InChIKey=LGEIPBYULZCRGR-UHFFFAOYSA-O		CC(CO)(CO)C[NH+](C)CC1(\C=C/C(/OC)=C\C=1)	CPD-20927		254.348
22-carboxy-docosanoyl-CoA	C43H71N7O19P3S	InChIKey=YFVKVAPATGWZOF-RMCJPFTISA-I	suberin monomers biosynthesis // long-chain fatty acid activation // cuticular wax biosynthesis // wax esters biosynthesis I // sphingolipid biosynthesis (plants) // CDP-diacylglycerol biosynthesis I // phosphatidylglycerol biosynthesis II (non-plastidic) // superpathway of phospholipid biosynthesis II (plants) // phosphatidylcholine acyl editing // diacylglycerol and triacylglycerol biosynthesis	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)[O-])COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	CPD-14775	C22:0-DCA-CoA // docosanedioyl coenzyme A // docosanedioic acid-CoA // docosanedioyl-CoA	1115.051
22-hydroxy-docosanoyl-CoA	C43H74N7O18P3S	InChIKey=GREYPJUHRBULIJ-GNSUAQHMSA-J	long-chain fatty acid activation // cuticular wax biosynthesis // wax esters biosynthesis I // sphingolipid biosynthesis (plants) // CDP-diacylglycerol biosynthesis I // phosphatidylglycerol biosynthesis II (non-plastidic) // superpathway of phospholipid biosynthesis II (plants) // phosphatidylcholine acyl editing // diacylglycerol and triacylglycerol biosynthesis // suberin monomers biosynthesis	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCCCCCCCCCCCCCO)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	CPD-14826	phellonoyl-CoA // 22-hydroxybehenoyl-CoA // omega-hydroxy behenoyl-CoA // omega-hydroxydocosanoyl-CoA // 22-hydroxydocosanoyl-CoA // omega-hydroxy-docosanoyl-coenzyme A // omega-hydroxy-docosanoic acid--CoA // C22:0-omega-OH-CoA // omega-hydroxy-docosanoyl-CoA // omega-hydroxy-C22:0-CoA	1102.075
22-oxo-docosanoyl-CoA	C43H72N7O18P3S	InChIKey=DROSANFEMLESIE-GNSUAQHMSA-J	acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // fatty acid &alpha;-oxidation I // phospholipases // triacylglycerol degradation // alkane oxidation // sphingolipid biosynthesis (plants) // CDP-diacylglycerol biosynthesis I // phosphatidylglycerol biosynthesis II (non-plastidic) // superpathway of phospholipid biosynthesis II (plants) // phosphatidylcholine acyl editing // diacylglycerol and triacylglycerol biosynthesis // suberin monomers biosynthesis	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCCCCCCCCCCCCC=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	CPD-17633	22-oxo-behenoyl-CoA	1100.059
23-hydroxymarneral	C30H50O2	InChIKey=RIZXEQIPLKUODL-SHHKXEFASA-N	marneral biosynthesis	CC(C)=CCCC(\C)=C/CCC(\C)=C/CC[C@]1(C)([C@H](C)CCC(\[C@@H](CCC=O)1)=C(C)\CO)	CPD-21325		442.724
24-alkyl sterol 1	C28H44O	InChIKey=VBNWAWCGTCKMJY-VOTSOKGWSA-N	26,27-dehydrozymosterol metabolism	C=C(C)C/C=C/CC(C)C1(C2(C)(C(CC1)C3(\CCC4(C(C)(C(\CC2)=3)CCC(O)C4))))	CPD-12160		396.655
24-alkyl sterol 2	C28H46O2	InChIKey=YBLHASCZKLAOQF-UHFFFAOYSA-N	26,27-dehydrozymosterol metabolism	C=C(C)CC(O)CCC(C)C1(C2(C)(C(CC1)C3(\CCC4(C(C)(C(\CC2)=3)CCC(O)C4))))	CPD-12161		414.67
24-<i>epi</i>-campesterol	C28H48O	InChIKey=SGNBVLSWZMBQTH-ZRUUVFCLSA-N	phytosterol biosynthesis (plants)	CC(C)[C@@H](C)CC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C\C=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))	CPD-8134	ergost-5-en-3beta-ol // (24S)-methylcholest-5-en-3beta-ol // Delta22-dihydrobrassicasterol // Delta5-campesterol // 24-methyl-5-cholestene-3beta-ol // (3beta)-ergost-5-en-3-ol	400.687
24-epibrassinolide	C28H48O6	InChIKey=IXVMHGVQKLDRKH-FUFWTINHSA-N		CC([C@H]([C@H]([C@@H]([C@@H](C)C2([C@]3(CCC4([C@]1(C[C@H]([C@H](C[C@@H]1C(=O)OCC([C@H](CC2)3)4)O)O)C))(C)))O)O)C)C	CPD-11835		480.684
24-epicathasterone	C28H48O3	InChIKey=JSVPGVHCEQDJCZ-FWIQQJMXSA-N		CC(C)[C@@H](C)C[C@H](O)[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CC(=O)[C@H]1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))	CPD-11837		432.685
24-epicathasterone-22-O-sulfate	C28H47O6S	InChIKey=MMHKTOGFTDNQOU-QDUMAPLTSA-M		CC(C)[C@@H](C)C[C@H](OS([O-])(=O)=O)[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CC(=O)[C@H]1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))	CPD-11839		511.736
24-epicathasterone-3-O-sulfate	C28H47O6S	InChIKey=PJFLQYKMDCABGN-FWIQQJMXSA-M		CC(C)[C@@H](C)C[C@H](O)[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CC(=O)[C@H]1(C[C@@H](OS(=O)(=O)[O-])CC[C@@](C)1[C@H]2CC[C@](C)34))))	CPD-21811		511.736
24-ethylidenelophenol	C30H50O	InChIKey=LPZCCMIISIBREI-JXMPMKKESA-N	phytosterol biosynthesis (plants)	C\C=C(CC[C@@H](C)[C@H]3(CC[C@H]4(C1([C@@H]([C@@]2(C)(CC[C@H](O)[C@@H](C)[C@H](CC=1)2))CC[C@](C)34))))/C(C)C	CPD-4124	(Z)-24-ethylidenelophenol // citrostadienol	426.724
24-hydroxy-&beta;-amyrin	C30H50O2	InChIKey=NTWLPZMPTFQYQI-PXOHOISBSA-N	soybean saponin I biosynthesis	C[C@@]4(CC5(C2(\[C@]([C@@]1(CCC3([C@]([C@H](CC[C@](C1C\C=2)3C)O)(CO)C))C)(CC[C@@](CC4)5C)C)))C	CPD-7608	olean-12-ene-3beta,24-diol	442.724
24-methyldesmosterol	C28H46O	InChIKey=YTFTXKBJICNYCV-PXBBAZSNSA-N	phytosterol biosynthesis (plants)	CC(C)=C(C)CC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C\C=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))	CPD-4141		398.671
24-methylenecholesterol	C28H46O	InChIKey=INDVLXYUCBVVKW-PXBBAZSNSA-N	sphingolipid biosynthesis (plants) // phytosterol biosynthesis (plants)	CC(C)C(CC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C\C=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34)))))=C	CPD-706		398.671
24-methylenecycloartanol	C31H52O	InChIKey=BDHQMRXFDYJGII-UEBIAWITSA-N	phytosterol biosynthesis (plants)	CC(C)C(CC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5(C(C)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))))=C	CPD-696	24(28)-methylenecycloartanol	440.751
24-methylidenelophenol	C29H48O	InChIKey=RSMKYRDCCSNYFM-AAGDOFLISA-N	phytosterol biosynthesis (plants)	CC(C)C(CC[C@@H](C)[C@H]3(CC[C@H]4(C1([C@@H]([C@@]2(C)(CC[C@H](O)[C@@H](C)[C@H](CC=1)2))CC[C@](C)34))))=C	CPD-4101	4alpha-methyl-5alpha-ergosta-7,24-dien-3beta-ol // 24-methylenelophenol	412.698
26,27-dehydrozymosterol	C27H42O	InChIKey=PARCYOHVCUKSCA-BJDKXSRUSA-N	26,27-dehydrozymosterol metabolism	C[C@H](CCC=C1(CC1))[C@H]3(CC[C@H]4(C5(\CC[C@H]2(C[C@@H](O)CC[C@@](C)2C(\CC[C@](C)34)=5))))	CPD-12159		382.628
26-hydroxy-27-methyl-zymosterol	C28H46O2	InChIKey=VEQLCAQNWTZKGV-WOBPUILZSA-N	26,27-dehydrozymosterol metabolism	CCC(\CO)=C\CC[C@@H](C)[C@H]2(CC[C@H]1(C3(\CC[C@H]4(C[C@@H](O)CC[C@](C)(C(\CC[C@@](C)12)=3)4))))	CPD-12162		414.67
26-hydroxybrassinolide	C28H48O7	InChIKey=WPKOZIBAIWHRJZ-QDMVLMCESA-N	brassinosteroids inactivation	CC([C@@H]([C@H]([C@@H]([C@H](C2([C@]3(CCC4([C@]1(C[C@H]([C@H](C[C@@H]1C(=O)OCC(C(CC2)3)4)O)O)C))(C)))C)O)O)C)CO	CPD-12501		496.683
26-hydroxycastasterone	C28H48O6	InChIKey=GIHKVCBPOTYEGP-WPXWDAEZSA-N	brassinosteroids inactivation	CC([C@@H]([C@H]([C@@H]([C@H](C2([C@]3(CCC4([C@]1(C[C@H]([C@H](C[C@@H]1C(CC(C(CC2)3)4)=O)O)O)C))(C)))C)O)O)C)CO	CPD-12500		480.684
3''-deamino-3''-oxonicotianamine	C12H17N2O7	InChIKey=PSBHIGYNXQIUQY-YUMQZZPRSA-M		C([C@H](CC[NH+]1([C@@H](CC1)C([O-])=O))[NH2+]CCC(C([O-])=O)=O)([O-])=O	CPD-7228		301.275
3''-<i>O</i>-acetyl-ADP-ribose	C17H23N5O15P2	InChIKey=HNHCIVXQBMBKPQ-YDKGJHSESA-L		CC(O[C@@H]1([C@H](OC([C@H](O)1)O)COP(=O)([O-])OP([O-])(=O)OC[C@H]2(O[C@H]([C@H](O)[C@@H]2O)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N)))))=O	CPD-14763		599.341
3'-azido-3'-deoxythymidine 5'-phosphate	C10H12N5O7P	InChIKey=OIFWQOKDSPDILA-XLPZGREQSA-L		CC1(\C(=O)NC(=O)N(\C=1)[C@H]2(C[C@H](N=[N+]=[N-])[C@@H](COP([O-])(=O)[O-])O2))	CPD-12546	3'-azido-3'-deoxythymidine monophosphate // AZTMP // Zidovudine monophosphate // Zidovudine 5'-monophosphate // ZDVMP	345.208
3'-dephospho-CoA	C21H33N7O13P2S	InChIKey=KDTSHFARGAKYJN-IBOSZNHHSA-L	coenzyme A biosynthesis II (eukaryotic) // coenzyme A biosynthesis I (prokaryotic) // superpathway of pantothenate and coenzymeA biosynthesis	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)C(=O)NCCC(=O)NCCS	DEPHOSPHO-COA	3-dephospho-CoA // dephosphocoenzyme A	685.538
3'-ketolactose	C12H20O11	InChIKey=HKKHTABTHSUDBP-GIHCHDTPSA-N		C(O)[C@H]2(O[C@@H](O[C@@H]1([C@@H](CO)O[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)C(=O)[C@@H](O)2)	3-KETOLACTOSE	3'-dehydro-beta-D-galactosyl-beta-D-glucopyranoside	340.283
3'-<i>O</i>-demethyl-staurosporine	C27H25N4O3	InChIKey=YFYYWLWHOINTHH-FCHZLITKSA-O		C[C@@]15(O[C@H](C[C@@H]([NH2+]C)[C@@H](O)1)N2(C8(/C=C\C=C/C(/C3(C7(\C(=O)NCC(/C4(C6(/C=C\C=C/C(/N(C(C2=3)=4)5)=6)))=7)))=8)))	3-DEMETHYLSTAUROSPORINE	DMSTP // 3'-demethyl-staurosporine	453.519
3'-phosphoadenylyl-sulfate	C10H11N5O13P2S	InChIKey=GACDQMDRPRGCTN-KQYNXXCUSA-J	sulfate activation for sulfonation // glucosinolate biosynthesis from tyrosine // jasmonoyl-L-isoleucine inactivation // hydroxyjasmonate sulfate biosynthesis // quercetin sulfate biosynthesis // superpathway of flavones and derivatives biosynthesis // brassinosteroids inactivation // glucosinolate biosynthesis from hexahomomethionine // glucosinolate biosynthesis from pentahomomethionine // glucosinolate biosynthesis from tetrahomomethionine // glucosinolate biosynthesis from trihomomethionine // glucosinolate biosynthesis from dihomomethionine // glucosinolate biosynthesis from tryptophan // glucosinolate biosynthesis from homomethionine // glucosinolate biosynthesis from phenylalanine	C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)OP(=O)([O-])[O-]))OP(OS([O-])(=O)=O)([O-])=O	PAPS	phosphoadenosine-5'-phosphosulfate // 3'-phosphoadenylyl-sulfate // 3'-phosphoadenylyl-sulfate // phosphoadenosine phosphosulfate // 3'-phosphoadenosine-5'-phosphosulfate // 3'-phosphoadenylyl sulfate // 3'-phospho-5'-adenylyl sulfate	503.23
3,3'-di(indol-3-yl)methane	C17H14N2	InChIKey=VFTRKSBEFQDZKX-UHFFFAOYSA-N	indole glucosinolate activation (herbivore attack)	C3(\C=C/C4(/N\C=C(CC1(\C2(/C=C\C=C/C(/N\C=1)=2)))/C(\C=3)=4))	CPDQT-424		246.311
3,4,-dihydroxybutylphosphonate	C4H10O5P	InChIKey=ZUCRMPBYWBAFDW-UHFFFAOYSA-M		C(P(O)(=O)[O-])CC(O)CO	CPD0-2099		169.094
3,4,3',4'-tetradehydroisozeaxanthin	C40H52O2	InChIKey=PNLSIRAIRUYUEO-DKLMTRRASA-N		CC(/C=C/C=C(C)/C=C/C1(/C(C/C=C(C(/C)=1)/O)(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C/C=C(C(/C)=2)/O)(C)C)	CPD-7854	4,4'-dihydro-3,4,3',4'-tetradehydro-beta,beta-carotene	564.85
3,4-dichloroaniline	C6H5NCl2	InChIKey=SDYWXFYBZPNOFX-UHFFFAOYSA-N		C1(\C(\N)=C/C(/Cl)=C(\C=1)/Cl)	34-DICHLOROANILINE		162.018
3,4-dihydroxy-5-<i>all-trans</i>-decaprenylbenzoate	C57H85O4	InChIKey=HGWUGDIATLOPBN-BHZQGFRMSA-M		CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C=C(/C=C(C(/O)=1)/O)/C([O-])=O)	CPD-9895	3-(3,7,11,15,19,23-decamethyltetracosa-2,6,10,14,18,22-hexaenyl) -4,5-dihydroxy-benzoic acid // 3-decaprenyl-4,5-dihydroxybenzoate	834.296
